"location","acute_time","acute_care_centre","id","x","y","silver_rehab_centre","gold_rehab_centre","rehab_time"
"Duaringa",376,"Brisbane (PAH/RBWH)",1190,149.6687,-23.71846,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",275.534958775
"Alpha",381,"Brisbane (PAH/RBWH)",1189,146.6387,-23.65028,"Central West Sub-Acute Service","Townsville University Hospital",320.02265546
"Dingo",345,"Brisbane (PAH/RBWH)",1188,149.3315,-23.64629,"Rockhampton Hospital","Townsville University Hospital",281.658111
"Mount Morgan",336,"Brisbane (PAH/RBWH)",1187,150.3881,-23.64464,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",232.199321255
"Bluff",345,"Brisbane (PAH/RBWH)",1186,149.0695,-23.57993,"Rockhampton Hospital","Townsville University Hospital",285.8130312
"Bouldercombe",322,"Brisbane (PAH/RBWH)",1185,150.4668,-23.57818,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",217.954923145
"Blackwater",345,"Brisbane (PAH/RBWH)",1184,148.8834,-23.5779,"Rockhampton Hospital","Townsville University Hospital",286.50562309
"Barcaldine",381,"Brisbane (PAH/RBWH)",1183,145.2854,-23.55288,"Central West Sub-Acute Service","Townsville University Hospital",325.739498085
"Emerald",345,"Brisbane (PAH/RBWH)",1182,148.1598,-23.52349,"Rockhampton Hospital","Townsville University Hospital",284.72946483
"Sapphire",345,"Brisbane (PAH/RBWH)",1181,147.7193,-23.46006,"Rockhampton Hospital","Townsville University Hospital",306.322512455
"Longreach",399,"Brisbane (PAH/RBWH)",1180,144.2475,-23.44447,"Central West Sub-Acute Service","Townsville University Hospital",259.156003615
"Gracemere",315,"Brisbane (PAH/RBWH)",1179,150.4558,-23.43865,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",212.795899065
"Rubyvale",345,"Brisbane (PAH/RBWH)",1178,147.6974,-23.42054,"Rockhampton Hospital","Townsville University Hospital",306.2224806
"Rockhampton",305,"Brisbane (PAH/RBWH)",1177,150.4974,-23.38918,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",208.663866155
"Keppel Sands",336,"Brisbane (PAH/RBWH)",1176,150.7919,-23.3275,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",239.445456865
"Emu Park",339,"Brisbane (PAH/RBWH)",1175,150.8238,-23.25994,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",242.716798795
"Glendale",326,"Brisbane (PAH/RBWH)",1174,150.4751,-23.24572,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",229.97914471
"Kinka Beach",338,"Brisbane (PAH/RBWH)",1173,150.7876,-23.2243,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",241.8253076
"Mulambin",344,"Brisbane (PAH/RBWH)",1172,150.7857,-23.19155,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",247.906584575
"The Caves",328,"Brisbane (PAH/RBWH)",1171,150.4661,-23.17545,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",232.311171995
"Yeppoon",339,"Brisbane (PAH/RBWH)",1170,150.7431,-23.12635,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",243.385708575
"Capella",345,"Brisbane (PAH/RBWH)",1169,148.0248,-23.08513,"Sarina Hospital","Townsville University Hospital",279.97848212
"Tieri",369,"Brisbane (PAH/RBWH)",1168,148.3497,-23.03219,"Sarina Hospital","Townsville University Hospital",282.689462905
"Aramac",381,"Brisbane (PAH/RBWH)",1167,145.2439,-22.9698,"Central West Sub-Acute Service","Townsville University Hospital",367.74447295
"Boulia",357,"Townsville University Hospital",1166,139.9082,-22.91287,"Central West Sub-Acute Service","Townsville University Hospital",520.755672475
"Byfield",360,"Brisbane (PAH/RBWH)",1165,150.6508,-22.85074,"Rockhampton Hospital","Princess Alexandra Hospital (PAH)",263.80328089
"Clermont",293,"Townsville University Hospital",1164,147.6374,-22.82681,"Sarina Hospital","Townsville University Hospital",250.612526705
"Middlemount",274,"Townsville University Hospital",1163,148.7039,-22.81426,"Sarina Hospital","Townsville University Hospital",265.94386677
"Dysart",274,"Townsville University Hospital",1162,148.3481,-22.58982,"Sarina Hospital","Townsville University Hospital",263.17657045
"Winton",351,"Townsville University Hospital",1161,143.0414,-22.38676,"Central West Sub-Acute Service","Townsville University Hospital",258.853697925
"Moranbah",243,"Townsville University Hospital",1160,148.0456,-22.0039,"Sarina Hospital","Townsville University Hospital",235.481489975
"Nebo",261,"Townsville University Hospital",1159,148.6917,-21.69028,"Sarina Hospital","Townsville University Hospital",179.544835245
"Armstrong Beach",235,"Townsville University Hospital",1158,149.2873,-21.45078,"Sarina Hospital","Townsville University Hospital",147.34491694
"Sarina",225,"Townsville University Hospital",1157,149.216,-21.4206,"Sarina Hospital","Townsville University Hospital",138.133857615
"Sarina Beach",228,"Townsville University Hospital",1156,149.3095,-21.38995,"Sarina Hospital","Townsville University Hospital",145.27243379
"Campwin Beach",229,"Townsville University Hospital",1155,149.313,-21.37793,"Sarina Hospital","Townsville University Hospital",146.190358405
"Grasstree Beach",228,"Townsville University Hospital",1154,149.3067,-21.36404,"Sarina Hospital","Townsville University Hospital",146.300618525
"Glenden",213,"Townsville University Hospital",1153,148.1138,-21.35315,"Sarina Hospital","Townsville University Hospital",186.68902186
"Hay Point",227,"Townsville University Hospital",1152,149.2905,-21.29652,"Sarina Hospital","Townsville University Hospital",148.38017022
"Eton",219,"Townsville University Hospital",1151,148.9732,-21.26365,"Sarina Hospital","Townsville University Hospital",141.95243347
"Bakers Creek",208,"Townsville University Hospital",1150,149.1521,-21.20776,"Sarina Hospital","Townsville University Hospital",140.432488225
"Walkerston",210,"Townsville University Hospital",1149,149.0554,-21.16249,"Sarina Hospital","Townsville University Hospital",140.51768091
"Mirani",225,"Townsville University Hospital",1148,148.8653,-21.16023,"Sarina Hospital","Townsville University Hospital",148.423757235
"Mackay",201,"Townsville University Hospital",1147,149.1664,-21.15497,"Sarina Hospital","Townsville University Hospital",141.71978891
"Marian",218,"Townsville University Hospital",1146,148.9428,-21.14558,"Sarina Hospital","Townsville University Hospital",141.550499345
